Campo,Tipo,Unidade,Origem,Tela,Persistência,Uso,Diagnóstico,Relatório,Histórico
SistemaEletrico,TEXT,V (12V ou 24V),Cadastro/Inspeção,"NovoVeiculoWindow, VisualizarVeiculoWindow",Veiculos.SistemaEletrico,dado atual do veículo,Define os limites de referência dos roteiros D01-D17,Ficha técnica do veículo,Mantém a especificação nominal da frota
BateriaPrincipal,TEXT,Ah / Modelo,Cadastro/Inspeção,VisualizarVeiculoWindow,Veiculos.BateriaPrincipal,dado atual do veículo,Identifica o modelo de bateria instalado,Ficha técnica,Permite comparar trocas de bateria
BateriaAuxiliar,TEXT,Ah / Modelo,Cadastro/Inspeção,VisualizarVeiculoWindow,Veiculos.BateriaAuxiliar,dado atual do veículo,Identifica segunda bateria em caminhões/vans,Ficha técnica,Rastreabilidade de frota pesada 24V
BateriaInstalada,TEXT,Ah / Modelo,Cadastro/Inspeção,"NovoVeiculoWindow, VisualizarVeiculoWindow",Veiculos.BateriaInstalada,dado atual do veículo,Utilizado no prontuário elétrico,Prontuário técnico,Histórico de especificações de bateria
BateriaMarca,TEXT,"Texto (Moura, Heliar, etc.)",Cadastro/Inspeção,VisualizarVeiculoWindow,Veiculos.BateriaMarca,dado atual do veículo,Fabricante da bateria para acionamento de garantia,Controle de marcas parceiras,Garantia de produto
BateriaAmperagem,TEXT,Ah,Cadastro/Inspeção,VisualizarVeiculoWindow,Veiculos.BateriaAmperagem,dado atual do veículo,Capacidade nominal para cálculo de dimensionamento,Prontuário técnico,Verificação de subdimensionamento
BateriaDataInstalacao,TEXT (Data),dd/MM/yyyy,Cadastro/OrdemServico,VisualizarVeiculoWindow,Veiculos.BateriaDataInstalacao,dado atual do veículo,Cálculo do tempo de vida útil da bateria em meses,Lembretes de revisão pós-venda,Histórico de longevidade da bateria
Alternador,TEXT,A (Amperes),Cadastro/Inspeção,VisualizarVeiculoWindow,Veiculos.Alternador,dado atual do veículo,Capacidade do gerador instalado no veículo,Ficha técnica,Comparação após troca de alternador
MotorPartida,TEXT,Modelo/Fabricante,Cadastro/Inspeção,VisualizarVeiculoWindow,Veiculos.MotorPartida,dado atual do veículo,Referência para roteiros D01 e D04,Ficha técnica,Histórico de intervenções de partida
TesteTensaoRepouso,TEXT/DECIMAL,V,Inspeção / DVI,VisualizarVeiculoWindow,Veiculos.TesteTensaoRepouso,última medição,Parâmetro chave para roteiro D01/D02 (crítico < 12.2V),Laudo elétrico PDF,Preservado também nos testes de OS
TesteTensaoPartida,TEXT/DECIMAL,V,Inspeção / DVI,VisualizarVeiculoWindow,Veiculos.TesteTensaoPartida,última medição,Avalia queda sob carga de partida (crítico < 9.6V),Laudo elétrico PDF,Comparação antes vs pós-reparo
TesteCargaAlternador,TEXT/DECIMAL,V,Inspeção / DVI,VisualizarVeiculoWindow,Veiculos.TesteCargaAlternador,última medição,Avalia regulagem sob marcha lenta (crítico < 13.5V),Laudo elétrico PDF,Histórico de saúde do alternador
CorrenteFuga,TEXT/DECIMAL,A ou mA,Inspeção / D02,VisualizarVeiculoWindow,Veiculos.CorrenteFuga,última medição,Mede consumo parasitário em sleep (crítico > 0.08A),Laudo elétrico PDF,Histórico de resolução de drenos
EstadoAterramentos,TEXT,Texto / Avaliação,Inspeção / D17,VisualizarVeiculoWindow,Veiculos.EstadoAterramentos,campo operacional,Condição física dos pontos de massa e malhas,Checklist operacional,Histórico de manutenção preventiva
ChicotesReparados,TEXT,Texto,Ordem de Serviço,VisualizarVeiculoWindow,Veiculos.ChicotesReparados,campo operacional,Registro de intervenções anteriores em chicotes,Histórico do veículo,Prevenção de retrabalho em emendas
FusiveisSubstituidos,TEXT,Texto,Ordem de Serviço,VisualizarVeiculoWindow,Veiculos.FusiveisSubstituidos,campo operacional,Histórico de sobrecorrentes atendidas,Relatório de defeitos recorrentes,Rastreabilidade de falhas
RelesSubstituidos,TEXT,Texto,Ordem de Serviço,VisualizarVeiculoWindow,Veiculos.RelesSubstituidos,campo operacional,Registro de trocas de relés auxiliares/principais,Histórico do veículo,Rastreabilidade de peças elétricas
LampadasSubstituidas,TEXT,Texto,Ordem de Serviço,VisualizarVeiculoWindow,Veiculos.LampadasSubstituidas,campo operacional,"Registro de lâmpadas trocadas (farol, lanterna)",Histórico do veículo,Estatística de durabilidade
AcessoriosInstalados,TEXT,Texto,Cadastro / Inspeção,VisualizarVeiculoWindow,Veiculos.AcessoriosInstalados,campo operacional,"Mapeamento de rastreador, som, farol milha, etc.",Ficha técnica,Investigação de fugas de corrente
ObservacoesTecnicasEletricas,TEXT,Texto Livre,Ordem de Serviço,VisualizarVeiculoWindow,Veiculos.ObservacoesTecnicasEletricas,histórico,Anotações particulares do eletricista,Laudo técnico pericial,Histórico cumulativo do veículo
FotosTecnicas,TEXT (JSON/Lista),Caminhos de Arquivo,DVI / OrdemServico,VisualizarVeiculoWindow,Veiculos.FotosTecnicas,evidência / anexo,"Fotos do cofre, bateria, chicote avariado",Laudo fotográfico PDF,Galeria pericial em Vehicle 360
