Arquivo,Origem,Destino,Obrigatório,Tipo,Preservar no Update?,Preservar no Uninstall?,Observação
Accessibility.dll,publish/win-x64/Accessibility.dll,{app}/Accessibility.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Azure.Core.dll,publish/win-x64/Azure.Core.dll,{app}/Azure.Core.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Azure.Identity.dll,publish/win-x64/Azure.Identity.dll,{app}/Azure.Identity.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
CommunityToolkit.Mvvm.dll,publish/win-x64/CommunityToolkit.Mvvm.dll,{app}/CommunityToolkit.Mvvm.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
D3DCompiler_47_cor3.dll,publish/win-x64/D3DCompiler_47_cor3.dll,{app}/D3DCompiler_47_cor3.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Dapper.dll,publish/win-x64/Dapper.dll,{app}/Dapper.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
DirectWriteForwarder.dll,publish/win-x64/DirectWriteForwarder.dll,{app}/DirectWriteForwarder.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
EPPlus.Interfaces.dll,publish/win-x64/EPPlus.Interfaces.dll,{app}/EPPlus.Interfaces.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
EPPlus.dll,publish/win-x64/EPPlus.dll,{app}/EPPlus.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
ExcelDataReader.dll,publish/win-x64/ExcelDataReader.dll,{app}/ExcelDataReader.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
HarfBuzzSharp.dll,publish/win-x64/HarfBuzzSharp.dll,{app}/HarfBuzzSharp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
ICSharpCode.SharpZipLib.dll,publish/win-x64/ICSharpCode.SharpZipLib.dll,{app}/ICSharpCode.SharpZipLib.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Bcl.AsyncInterfaces.dll,publish/win-x64/Microsoft.Bcl.AsyncInterfaces.dll,{app}/Microsoft.Bcl.AsyncInterfaces.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.CSharp.dll,publish/win-x64/Microsoft.CSharp.dll,{app}/Microsoft.CSharp.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Data.SqlClient.SNI.dll,publish/win-x64/Microsoft.Data.SqlClient.SNI.dll,{app}/Microsoft.Data.SqlClient.SNI.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Data.SqlClient.dll,publish/win-x64/Microsoft.Data.SqlClient.dll,{app}/Microsoft.Data.SqlClient.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Data.Sqlite.dll,publish/win-x64/Microsoft.Data.Sqlite.dll,{app}/Microsoft.Data.Sqlite.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.DiaSymReader.Native.amd64.dll,publish/win-x64/Microsoft.DiaSymReader.Native.amd64.dll,{app}/Microsoft.DiaSymReader.Native.amd64.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Configuration.Abstractions.dll,publish/win-x64/Microsoft.Extensions.Configuration.Abstractions.dll,{app}/Microsoft.Extensions.Configuration.Abstractions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Configuration.Binder.dll,publish/win-x64/Microsoft.Extensions.Configuration.Binder.dll,{app}/Microsoft.Extensions.Configuration.Binder.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Configuration.FileExtensions.dll,publish/win-x64/Microsoft.Extensions.Configuration.FileExtensions.dll,{app}/Microsoft.Extensions.Configuration.FileExtensions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Configuration.Json.dll,publish/win-x64/Microsoft.Extensions.Configuration.Json.dll,{app}/Microsoft.Extensions.Configuration.Json.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.Configuration.dll,publish/win-x64/Microsoft.Extensions.Configuration.dll,{app}/Microsoft.Extensions.Configuration.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
Microsoft.Extensions.DependencyInjection.Abstractions.dll,publish/win-x64/Microsoft.Extensions.DependencyInjection.Abstractions.dll,{app}/Microsoft.Extensions.DependencyInjection.Abstractions.dll,SIM,DEPENDÊNCIA,NÃO (Substituído),NÃO (Removido),Assembly gerenciado ou biblioteca nativa de runtime (.NET 10 / SQLite)
