Table,Column,Category,SQLite Type Before,SQLite Type After,Nullable,Default,Primary Key,Foreign Key,Check Constraint,Repository,Read Method,Write Method,Aggregate Usage,Risk,Validation
AgendamentoProdutos,PrecoUnitario,MONEY,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentoProdutosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
AgendamentoProdutos,PrecoTotal,MONEY_DERIVED,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentoProdutosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
AgendamentoServicos,Valor,MONEY,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentoServicosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
Agendamentos,ClienteTotalGasto,MONEY_DERIVED,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
Agendamentos,ValorEstimado,MONEY,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
Agendamentos,ValorReal,MONEY,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
Agendamentos,ValorPago,MONEY,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
Agendamentos,ValorProdutos,MONEY_DERIVED,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
Agendamentos,ValorServicos,MONEY_DERIVED,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,AgendamentosRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
CaixaSessoes,ValorAbertura,MONEY,REAL,INTEGER,NAO,NULL,NAO,NAO,NAO,CaixaSessoesRepository,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
CaixaSessoes,ValorEsperado,MONEY_DERIVED,REAL,INTEGER,NAO,NULL,NAO,NAO,NAO,CaixaSessoesRepository,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
CaixaSessoes,ValorInformadoFechamento,MONEY,REAL,INTEGER,SIM,NULL,NAO,NAO,NAO,CaixaSessoesRepository,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
CaixaSessoes,TotalVendas,MONEY_DERIVED,REAL,INTEGER,NAO,NULL,NAO,NAO,NAO,CaixaSessoesRepository,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,"SUM=SIM, MIN=SIM, MAX=SIM, AVG=SIM",BAIXO (Validado em CentsV1),PASS
