Table,Column,Category,RowCount,NullCount,NegativeCount,ZeroCount,PositiveCount,MinVal,MaxVal,SumVal
Funcionarios,Salario,MONEY,1,0,0,0,1,5000.0,5000.0,5000.0
ContasPagar,Valor,MONEY,2,0,0,0,2,5412.75,5412.75,10825.50
ContasReceber,Valor,MONEY,6,0,0,0,6,80,380.2,980.2
MovimentacoesFinanceiras,Valor,MONEY,9,0,0,0,9,80,5412.75,12185.90
Clientes,TotalGasto,MONEY_DERIVED,2,0,0,1,1,0.0,980.2,980.2
Produtos,PrecoCompra,MONEY,55,0,0,6,49,0.0,25.0,1042.98
Produtos,PrecoVenda,MONEY,55,0,0,1,54,0.0,57.0,2206.2
Produtos,ValorTotalEstoque,MONEY_DERIVED,55,0,0,41,14,0.0,200.0,2177.98
Produtos,TotalFaturado,MONEY_DERIVED,55,0,0,55,0,0.0,0.0,0.0
OrdemServicoItens,ValorUnitario,MONEY,16,0,0,0,16,1.2,150.0,1202.6
OrdemServicoItens,CustoUnitario,MONEY_DERIVED,16,0,0,14,2,0.0,17.98,32.98
OrdensServico,ValorMaoObra,MONEY_DERIVED,9,0,0,1,8,0.0,220.0,1060.0
OrdensServico,Desconto,MONEY_DERIVED,9,0,0,9,0,0.0,0.0,0.0
OrcamentoItens,PrecoUnitario,MONEY_DERIVED,49,0,0,4,45,0.0,480.0,19820.0
OrcamentoItens,PrecoCusto,MONEY_DERIVED,49,0,0,49,0,0.0,0.0,0.0
OrcamentoItens,Desconto,MONEY_DERIVED,49,0,0,49,0,0.0,0.0,0.0
OrcamentoItens,Subtotal,MONEY_DERIVED,49,0,0,4,45,0.0,960.0,29420.0
OrcamentoItens,LucroEstimado,MONEY_DERIVED,49,0,0,4,45,0.0,960.0,29420.0
Orcamentos,Subtotal,MONEY_DERIVED,25,0,0,0,25,80.0,480.0,10220.0
Orcamentos,Desconto,MONEY_DERIVED,25,0,0,25,0,0.0,0.0,0.0
Orcamentos,Acrescimo,MONEY_DERIVED,25,0,0,25,0,0.0,0.0,0.0
Orcamentos,Total,MONEY_DERIVED,25,0,0,0,25,80.0,480.0,10220.0
Orcamentos,LucroEstimado,MONEY_DERIVED,25,0,0,0,25,80.0,480.0,10220.0
Orcamentos,ComissaoVendedor,MONEY_DERIVED,25,0,0,21,4,0.0,6.0,22.0
Orcamentos,ImpostosEstimados,MONEY_DERIVED,25,0,0,21,4,0.0,21.6,79.2
ServicosPadrao,ValorSugerido,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Fornecedores,PedidoMinimo,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Fornecedores,TotalCompras,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
ProdutoFornecedores,PrecoUltimaCompra,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
ProdutoFornecedores,ValorCompras,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Metas,MetaValor,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Metas,ValorAtual,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
MetasFinanceiras,ValorMeta,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
MetasFinanceiras,ValorAtual,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Agendamentos,ClienteTotalGasto,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Agendamentos,ValorEstimado,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
Agendamentos,ValorReal,MONEY_DERIVED,0,0,0,0,0,NULL,NULL,0
