OriginalValue,RoundedDecimal,ExpectedCents,CalculatedCents,RoundtripDecimal,Method,Status
0.01,0.01,1,1,0.01,AwayFromZero (ROUND_HALF_UP),PASS
0.02,0.02,2,2,0.02,AwayFromZero (ROUND_HALF_UP),PASS
0.03,0.03,3,3,0.03,AwayFromZero (ROUND_HALF_UP),PASS
0.05,0.05,5,5,0.05,AwayFromZero (ROUND_HALF_UP),PASS
0.10,0.10,10,10,0.1,AwayFromZero (ROUND_HALF_UP),PASS
0.99,0.99,99,99,0.99,AwayFromZero (ROUND_HALF_UP),PASS
1.00,1.00,100,100,1,AwayFromZero (ROUND_HALF_UP),PASS
1.01,1.01,101,101,1.01,AwayFromZero (ROUND_HALF_UP),PASS
10.01,10.01,1001,1001,10.01,AwayFromZero (ROUND_HALF_UP),PASS
33.33,33.33,3333,3333,33.33,AwayFromZero (ROUND_HALF_UP),PASS
33.34,33.34,3334,3334,33.34,AwayFromZero (ROUND_HALF_UP),PASS
99.99,99.99,9999,9999,99.99,AwayFromZero (ROUND_HALF_UP),PASS
100.01,100.01,10001,10001,100.01,AwayFromZero (ROUND_HALF_UP),PASS
999.99,999.99,99999,99999,999.99,AwayFromZero (ROUND_HALF_UP),PASS
1000.01,1000.01,100001,100001,1000.01,AwayFromZero (ROUND_HALF_UP),PASS
1005.67,1005.67,100567,100567,1005.67,AwayFromZero (ROUND_HALF_UP),PASS
0.005,0.01,1,1,0.01,AwayFromZero (ROUND_HALF_UP),PASS
0.015,0.02,2,2,0.02,AwayFromZero (ROUND_HALF_UP),PASS
0.025,0.03,3,3,0.03,AwayFromZero (ROUND_HALF_UP),PASS
1.005,1.01,101,101,1.01,AwayFromZero (ROUND_HALF_UP),PASS
2.675,2.68,268,268,2.68,AwayFromZero (ROUND_HALF_UP),PASS
10.005,10.01,1001,1001,10.01,AwayFromZero (ROUND_HALF_UP),PASS
-0.01,-0.01,-1,-1,-0.01,AwayFromZero (ROUND_HALF_UP),PASS
-1.00,-1.00,-100,-100,-1,AwayFromZero (ROUND_HALF_UP),PASS
-10.01,-10.01,-1001,-1001,-10.01,AwayFromZero (ROUND_HALF_UP),PASS
-50.00,-50.00,-5000,-5000,-50,AwayFromZero (ROUND_HALF_UP),PASS
-999.99,-999.99,-99999,-99999,-999.99,AwayFromZero (ROUND_HALF_UP),PASS
-0.005,-0.01,-1,-1,-0.01,AwayFromZero (ROUND_HALF_UP),PASS
-1.005,-1.01,-101,-101,-1.01,AwayFromZero (ROUND_HALF_UP),PASS
