Table,PreMigrationCount,PostMigrationCount,Difference,Status
Funcionarios,1,1,0,PASS
Permissoes,82,82,0,PASS
PerfisAcesso,10,10,0,PASS
PerfilPermissoes,276,276,0,PASS
AuditLogs,1692,1692,0,PASS
Clientes,2,2,0,PASS
Produtos,55,55,0,PASS
ImportacoesNFe,0,0,0,PASS
ImportacoesItens,0,0,0,PASS
Fornecedores,0,0,0,PASS
ProdutoFornecedores,0,0,0,PASS
Vendas,0,0,0,PASS
Veiculos,7,7,0,PASS
OrdensServico,9,9,0,PASS
OrdemServicoItens,16,16,0,PASS
OrdemServicoEventos,62,62,0,PASS
SchemaMigrations,37,37,0,PASS
SchemaVersion,37,37,0,PASS
RegistroBloqueios,0,0,0,PASS
DatabaseBackups,43,43,0,PASS
LoginTentativasSeguranca,1,1,0,PASS
CaixaSessoes,0,0,0,PASS
MovimentacoesCaixa,0,0,0,PASS
UserSessions,43,43,0,PASS
RecordLocks,8,8,0,PASS
VendaItens,0,0,0,PASS
CatalogoPecas,4287,4287,0,PASS
CatalogoImportacoes,6,6,0,PASS
CatalogoImportacaoErros,5,5,0,PASS
ConfiguracoesSistema,25,25,0,PASS
ContatosFornecedor,0,0,0,PASS
Orcamentos,25,25,0,PASS
OrcamentoItens,49,49,0,PASS
ContasPagar,2,2,0,PASS
ContasReceber,6,6,0,PASS
MovimentacoesFinanceiras,9,9,0,PASS
MetasFinanceiras,0,0,0,PASS
Agendamentos,0,0,0,PASS
AgendamentoProdutos,0,0,0,PASS
AgendamentoServicos,0,0,0,PASS
AgendamentoTimeline,0,0,0,PASS
AlertasAgendamento,0,0,0,PASS
AgendamentoIntegracoes,0,0,0,PASS
Relatorios,0,0,0,PASS
Auditoria,0,0,0,PASS
Metas,0,0,0,PASS
Alertas,0,0,0,PASS
Timeline,0,0,0,PASS
ImportacoesNFeExclusoes,0,0,0,PASS
ImportacoesNFeRollbacks,0,0,0,PASS
Filiais,0,0,0,PASS
FiscalOperations,0,0,0,PASS
FiscalDocuments,0,0,0,PASS
FiscalEvents,0,0,0,PASS
FiscalEmpresas,0,0,0,PASS
ServicosPadrao,0,0,0,PASS
CatalogoVeiculos,171,171,0,PASS
CatalogoPecaVeiculos,51119,51119,0,PASS
