Table,Column,Category,OldType,NewType,Nullable,Status
Funcionarios,Salario,MONEY,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ContasPagar,Valor,MONEY,DECIMAL,INTEGER,NAO,MIGRADO_CENTS_V1
ContasReceber,Valor,MONEY,DECIMAL,INTEGER,NAO,MIGRADO_CENTS_V1
MovimentacoesFinanceiras,Valor,MONEY,DECIMAL,INTEGER,NAO,MIGRADO_CENTS_V1
Clientes,TotalGasto,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Produtos,PrecoCompra,MONEY,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Produtos,PrecoVenda,MONEY,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Produtos,MargemLucro,NON_MONETARY_PRESERVED,REAL,REAL,NAO,PRESERVADO_INALTERADO
Produtos,ValorTotalEstoque,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Produtos,TotalFaturado,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
OrdemServicoItens,Quantidade,NON_MONETARY_PRESERVED,REAL,REAL,NAO,PRESERVADO_INALTERADO
OrdemServicoItens,ValorUnitario,MONEY,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
OrdemServicoItens,CustoUnitario,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
OrdensServico,ValorMaoObra,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
OrdensServico,Desconto,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
OrcamentoItens,PrecoUnitario,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
OrcamentoItens,PrecoCusto,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
OrcamentoItens,Desconto,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
OrcamentoItens,Subtotal,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
OrcamentoItens,LucroEstimado,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
OrcamentoItens,MargemLucro,NON_MONETARY_PRESERVED,REAL,REAL,SIM,PRESERVADO_INALTERADO
Orcamentos,Subtotal,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Orcamentos,Desconto,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Orcamentos,DescontoPercentual,NON_MONETARY_PRESERVED,REAL,REAL,NAO,PRESERVADO_INALTERADO
Orcamentos,Acrescimo,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Orcamentos,Total,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Orcamentos,MargemLucro,NON_MONETARY_PRESERVED,REAL,REAL,SIM,PRESERVADO_INALTERADO
Orcamentos,LucroEstimado,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Orcamentos,ComissaoVendedor,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Orcamentos,ImpostosEstimados,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
ServicosPadrao,ValorSugerido,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Fornecedores,PedidoMinimo,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Fornecedores,TotalCompras,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ProdutoFornecedores,PrecoUltimaCompra,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
ProdutoFornecedores,QuantidadeUltimaCompra,NON_MONETARY_PRESERVED,REAL,REAL,NAO,PRESERVADO_INALTERADO
ProdutoFornecedores,ValorCompras,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Metas,MetaValor,MONEY_DERIVED,REAL,INTEGER,NAO,MIGRADO_CENTS_V1
Metas,ValorAtual,MONEY_DERIVED,REAL,INTEGER,SIM,MIGRADO_CENTS_V1
Metas,PercentualAtingido,NON_MONETARY_PRESERVED,REAL,REAL,SIM,PRESERVADO_INALTERADO
MetasFinanceiras,ValorMeta,MONEY_DERIVED,DECIMAL,INTEGER,NAO,MIGRADO_CENTS_V1
MetasFinanceiras,ValorAtual,MONEY_DERIVED,DECIMAL,INTEGER,SIM,MIGRADO_CENTS_V1
