Table,Column,SampleIndex,OriginalReal,NormalizedDecimal,MigratedCents,Difference,Status
Funcionarios,Salario,0,5000.0,5000,500000,0,PASS
ContasPagar,Valor,0,5412.75,5412.75,541275,0,PASS
ContasPagar,Valor,1,5412.75,5412.75,541275,0,PASS
ContasReceber,Valor,0,380.2,380.2,38020,0,PASS
ContasReceber,Valor,1,150,150,15000,0,PASS
ContasReceber,Valor,2,100,100,10000,0,PASS
ContasReceber,Valor,3,150,150,15000,0,PASS
ContasReceber,Valor,4,80,80,8000,0,PASS
ContasReceber,Valor,5,120,120,12000,0,PASS
MovimentacoesFinanceiras,Valor,0,5412.75,5412.75,541275,0,PASS
MovimentacoesFinanceiras,Valor,1,5412.75,5412.75,541275,0,PASS
MovimentacoesFinanceiras,Valor,2,380.2,380.2,38020,0,PASS
MovimentacoesFinanceiras,Valor,3,380.2,380.2,38020,0,PASS
MovimentacoesFinanceiras,Valor,4,150,150,15000,0,PASS
MovimentacoesFinanceiras,Valor,5,100,100,10000,0,PASS
MovimentacoesFinanceiras,Valor,6,150,150,15000,0,PASS
MovimentacoesFinanceiras,Valor,7,80,80,8000,0,PASS
MovimentacoesFinanceiras,Valor,8,120,120,12000,0,PASS
Clientes,TotalGasto,0,980.2,980.2,98020,0,PASS
Clientes,TotalGasto,1,0.0,0,0,0,PASS
Produtos,PrecoCompra,0,15.0,15,1500,0,PASS
Produtos,PrecoCompra,1,15.0,15,1500,0,PASS
Produtos,PrecoCompra,2,15.0,15,1500,0,PASS
Produtos,PrecoCompra,3,15.0,15,1500,0,PASS
Produtos,PrecoCompra,4,15.0,15,1500,0,PASS
Produtos,PrecoCompra,5,15.0,15,1500,0,PASS
Produtos,PrecoCompra,6,15.0,15,1500,0,PASS
Produtos,PrecoCompra,7,17.98,17.98,1798,0,PASS
Produtos,PrecoCompra,8,0.0,0,0,0,PASS
Produtos,PrecoCompra,9,0.0,0,0,0,PASS
Produtos,PrecoCompra,10,0.0,0,0,0,PASS
Produtos,PrecoCompra,11,0.0,0,0,0,PASS
Produtos,PrecoCompra,12,0.0,0,0,0,PASS
Produtos,PrecoCompra,13,10.0,10,1000,0,PASS
