ID,Tela,Arquivo,Elemento,Rotulo,Handler,Tipo,Risco,Classificacao,Observacao
BTN-0001,AdicionarFornecedorDialog,Views\AdicionarFornecedorDialog.xaml,,Nao,NaoButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0002,AdicionarFornecedorDialog,Views\AdicionarFornecedorDialog.xaml,,"Sim, adicionar",SimButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0003,AdminPasswordConfirmationWindow,Views\AdminPasswordConfirmationWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",BtnCancelar_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0004,AdminPasswordConfirmationWindow,Views\AdminPasswordConfirmationWindow.xaml,BtnConfirmar,Confirmar,BtnConfirmar_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0005,AjusteEstoqueWindow,Views\AjusteEstoqueWindow.xaml,SalvarButton,Salvar ajustes,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0006,AjusteEstoqueWindow,Views\AjusteEstoqueWindow.xaml,CancelarButton,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0007,AjusteEstoqueWindow,Views\AjusteEstoqueWindow.xaml,,Aplicar agora,SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
BTN-0008,AssinaturaDigitalWindow,Views\AssinaturaDigitalWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Clear]}",LimparButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0009,AssinaturaDigitalWindow,Views\AssinaturaDigitalWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[Cancel]}",CancelarButton_Click,Button,Baixo,PASS,Interação de navegação/consulta
BTN-0010,AssinaturaDigitalWindow,Views\AssinaturaDigitalWindow.xaml,,"{Binding Source={StaticResource LocalizationHelper}, Path=[SaveSignature]}",SalvarButton_Click,Button,Médio,PASS,Ação de persistência segura / validação de formulário
