Table,Column,RowIndex,OldReal,ExpectedCents,NewCents,RoundtripDecimal,Difference,Status
Funcionarios,Salario,0,5000.0,500000,500000,5000,0.00,PASS
ContasPagar,Valor,0,5412.75,541275,541275,5412.75,0.00,PASS
ContasPagar,Valor,1,5412.75,541275,541275,5412.75,0.00,PASS
ContasPagar,Valor,2,0.01,1,1,0.01,0.00,PASS
ContasPagar,Valor,3,0.05,5,5,0.05,0.00,PASS
ContasPagar,Valor,4,0.1,10,10,0.1,0.00,PASS
ContasPagar,Valor,5,1.23,123,123,1.23,0.00,PASS
ContasPagar,Valor,6,9.99,999,999,9.99,0.00,PASS
ContasPagar,Valor,7,10.01,1001,1001,10.01,0.00,PASS
ContasPagar,Valor,8,99.99,9999,9999,99.99,0.00,PASS
ContasPagar,Valor,9,100.01,10001,10001,100.01,0.00,PASS
ContasPagar,Valor,10,1005.67,100567,100567,1005.67,0.00,PASS
ContasPagar,Valor,11,10000.99,1000099,1000099,10000.99,0.00,PASS
ContasReceber,Valor,0,380.2,38020,38020,380.2,0.00,PASS
ContasReceber,Valor,1,150,15000,15000,150,0.00,PASS
ContasReceber,Valor,2,100,10000,10000,100,0.00,PASS
ContasReceber,Valor,3,150,15000,15000,150,0.00,PASS
ContasReceber,Valor,4,80,8000,8000,80,0.00,PASS
ContasReceber,Valor,5,120,12000,12000,120,0.00,PASS
ContasReceber,Valor,6,0.01,1,1,0.01,0.00,PASS
ContasReceber,Valor,7,0.05,5,5,0.05,0.00,PASS
ContasReceber,Valor,8,0.1,10,10,0.1,0.00,PASS
ContasReceber,Valor,9,1.23,123,123,1.23,0.00,PASS
ContasReceber,Valor,10,9.99,999,999,9.99,0.00,PASS
ContasReceber,Valor,11,10.01,1001,1001,10.01,0.00,PASS
ContasReceber,Valor,12,99.99,9999,9999,99.99,0.00,PASS
ContasReceber,Valor,13,100.01,10001,10001,100.01,0.00,PASS
ContasReceber,Valor,14,1005.67,100567,100567,1005.67,0.00,PASS
ContasReceber,Valor,15,10000.99,1000099,1000099,10000.99,0.00,PASS
MovimentacoesFinanceiras,Valor,0,5412.75,541275,541275,5412.75,0.00,PASS
MovimentacoesFinanceiras,Valor,1,5412.75,541275,541275,5412.75,0.00,PASS
MovimentacoesFinanceiras,Valor,2,380.2,38020,38020,380.2,0.00,PASS
MovimentacoesFinanceiras,Valor,3,380.2,38020,38020,380.2,0.00,PASS
MovimentacoesFinanceiras,Valor,4,150,15000,15000,150,0.00,PASS
MovimentacoesFinanceiras,Valor,5,100,10000,10000,100,0.00,PASS
MovimentacoesFinanceiras,Valor,6,150,15000,15000,150,0.00,PASS
MovimentacoesFinanceiras,Valor,7,80,8000,8000,80,0.00,PASS
MovimentacoesFinanceiras,Valor,8,120,12000,12000,120,0.00,PASS
MovimentacoesFinanceiras,Valor,9,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,10,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,11,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,12,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,13,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,14,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,15,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,16,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,17,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,18,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,19,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,20,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,21,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,22,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,23,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,24,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,25,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,26,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,27,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,28,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,29,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,30,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,31,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,32,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,33,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,34,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,35,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,36,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,37,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,38,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,39,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,40,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,41,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,42,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,43,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,44,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,45,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,46,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,47,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,48,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,49,50,5000,5000,50,0.00,PASS
Clientes,TotalGasto,0,980.2,98020,98020,980.2,0.00,PASS
Clientes,TotalGasto,1,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,2,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,3,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,4,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,5,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,6,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,7,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,8,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,9,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,10,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,11,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,12,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,13,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,14,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,15,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,16,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,17,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,18,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,19,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,20,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,21,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,22,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,23,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,24,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,25,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,26,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,27,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,28,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,29,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,30,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,31,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,32,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,33,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,34,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,35,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,36,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,37,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,38,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,39,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,40,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,41,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,42,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,43,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,44,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,45,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,46,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,47,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,48,0.0,0,0,0,0.00,PASS
Clientes,TotalGasto,49,0.0,0,0,0,0.00,PASS
Produtos,PrecoCompra,0,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,1,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,2,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,3,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,4,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,5,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,6,15.0,1500,1500,15,0.00,PASS
Produtos,PrecoCompra,7,17.98,1798,1798,17.98,0.00,PASS
Produtos,PrecoCompra,8,0.0,0,0,0,0.00,PASS
Produtos,PrecoCompra,9,0.0,0,0,0,0.00,PASS
Produtos,PrecoCompra,10,0.0,0,0,0,0.00,PASS
Produtos,PrecoCompra,11,0.0,0,0,0,0.00,PASS
Produtos,PrecoCompra,12,0.0,0,0,0,0.00,PASS
Produtos,PrecoCompra,13,10.0,1000,1000,10,0.00,PASS
Produtos,PrecoCompra,14,10.0,1000,1000,10,0.00,PASS
Produtos,PrecoCompra,15,10.0,1000,1000,10,0.00,PASS
Produtos,PrecoCompra,16,10.0,1000,1000,10,0.00,PASS
Produtos,PrecoCompra,17,10.0,1000,1000,10,0.00,PASS
Produtos,PrecoCompra,18,10.0,1000,1000,10,0.00,PASS
Produtos,PrecoCompra,19,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,20,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,21,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,22,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,23,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,24,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,25,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,26,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,27,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,28,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,29,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,30,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,31,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,32,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,33,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,34,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,35,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,36,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,37,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,38,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,39,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,40,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,41,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,42,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,43,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,44,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,45,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,46,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,47,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,48,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoCompra,49,25.0,2500,2500,25,0.00,PASS
Produtos,PrecoVenda,0,32.0,3200,3200,32,0.00,PASS
Produtos,PrecoVenda,1,32.0,3200,3200,32,0.00,PASS
Produtos,PrecoVenda,2,32.0,3200,3200,32,0.00,PASS
Produtos,PrecoVenda,3,32.0,3200,3200,32,0.00,PASS
Produtos,PrecoVenda,4,32.0,3200,3200,32,0.00,PASS
Produtos,PrecoVenda,5,32.0,3200,3200,32,0.00,PASS
Produtos,PrecoVenda,6,57.0,5700,5700,57,0.00,PASS
Produtos,PrecoVenda,7,48.3,4830,4830,48.3,0.00,PASS
Produtos,PrecoVenda,8,11.9,1190,1190,11.9,0.00,PASS
Produtos,PrecoVenda,9,1.5,150,150,1.5,0.00,PASS
Produtos,PrecoVenda,10,1.2,120,120,1.2,0.00,PASS
Produtos,PrecoVenda,11,12.0,1200,1200,12,0.00,PASS
Produtos,PrecoVenda,12,10.7,1070,1070,10.7,0.00,PASS
