Table,Column,AggregateFunction,LegacyRealValue,CentsV1Value,Difference,Status
Funcionarios,Salario,SUM,5000.00,5000.00,0.00,PASS
Funcionarios,Salario,AVG,5000.00,5000.00,0.00,PASS
Produtos,PrecoVenda,SUM,31041.20,31041.20,0.00,PASS
Produtos,PrecoVenda,AVG,55.93,55.93,0.00,PASS
Produtos,PrecoCompra,SUM,14607.98,14607.98,0.00,PASS
Produtos,ValorTotalEstoque,SUM,2177.98,2177.98,0.00,PASS
ContasPagar,Valor,SUM,22053.55,22053.55,0.00,PASS
ContasReceber,Valor,SUM,12208.25,12208.25,0.00,PASS
MovimentacoesFinanceiras,Valor,SUM,37185.90,37185.90,0.00,PASS
Clientes,TotalGasto,SUM,980.20,980.20,0.00,PASS
OrdensServico,ValorMaoObra,SUM,76135.00,76135.00,0.00,PASS
OrdensServico,Desconto,SUM,150.00,150.00,0.00,PASS
Orcamentos,Total,SUM,101235.00,101235.00,0.00,PASS
Orcamentos,Subtotal,SUM,101385.00,101385.00,0.00,PASS
ServicosPadrao,ValorSugerido,SUM,0.00,0.00,0.00,PASS
