arquivo,linha,método,campo,tabela,tipo,classificação,ação necessária,status
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,327,ObterHistoricoImportacoes,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,328,ObterHistoricoImportacoes,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,381,ObterImportacaoPorId,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,382,ObterImportacaoPorId,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,440,ObterItensImportacao,Quantidade,ImportacoesItens,ReadDecimal,C,Preservar leitura numerica padrao (ImportacoesItens.Quantidade),PROTECTED_NON_MONETARY
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,441,ObterItensImportacao,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,442,ObterItensImportacao,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,450,ObterItensImportacao,MargemAplicada,ImportacoesItens,ReadDecimal,C,Preservar leitura numerica padrao (ImportacoesItens.MargemAplicada),PROTECTED_NON_MONETARY
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,451,ObterItensImportacao,PrecoVendaSugerido,ImportacoesItens,ReadDecimal,A,Converter para MoneyIO.LerMoeda (ImportacoesItens.PrecoVendaSugerido),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,778,ObterItensRollback,Quantidade,ImportacoesItens,ReadDecimal,C,Preservar leitura numerica padrao (ImportacoesItens.Quantidade),PROTECTED_NON_MONETARY
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,893,ObterSnapshotProdutoAtual,PrecoCompra,Produtos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Produtos.PrecoCompra),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,894,ObterSnapshotProdutoAtual,PrecoVenda,Produtos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Produtos.PrecoVenda),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,895,ObterSnapshotProdutoAtual,MargemLucro,OrcamentoItens,ReadDecimal,C,Preservar leitura numerica padrao (OrcamentoItens.MargemLucro),PROTECTED_NON_MONETARY
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,896,ObterSnapshotProdutoAtual,Valor,AgendamentoServicos,ReadDecimal,A,Converter para MoneyIO.LerMoeda (AgendamentoServicos.Valor),REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,1363,ReadDecimal,N/A,N/A,ReadDecimal,A,Atualizar helper para delegar a MoneyIO / CentsV1,REQUIRES_CONVERSION
PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs,1365,ReadDecimal,N/A,N/A,Convert.ToDecimal,D,Falso positivo / Conversao geral de dados,FALSE_POSITIVE
PrimoAutoEletrica\Models\OficinaProfissional.cs,23,ClassLevel,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ClienteRepository.cs,760,MaterializarCliente,TotalGasto,Clientes,ReadDecimal,A,Converter para MoneyIO.LerMoeda (Clientes.TotalGasto),REQUIRES_CONVERSION
PrimoAutoEletrica\Repositories\ClienteRepository.cs,1175,AtualizarResumoCliente,Valor,AgendamentoServicos,SUM_SQL,A,Garantir conversao de centavos via MoneyIO.ConverterAgregacao,REQUIRES_CONVERSION
