Tabela,Campo,Tipo anterior,Tipo CentsV1,Repository,Service,Write path,Read path,Aggregate path,UI path,Tests,Status
AgendamentoProdutos,PrecoUnitario,REAL,INTEGER,AgendamentoProdutosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(PrecoTotal),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
AgendamentoProdutos,PrecoTotal,REAL,INTEGER,AgendamentoProdutosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(PrecoTotal),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
AgendamentoServicos,Valor,REAL,INTEGER,AgendamentoServicosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(Valor),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
Agendamentos,ClienteTotalGasto,REAL,INTEGER,AgendamentosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ClienteTotalGasto),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
Agendamentos,ValorEstimado,REAL,INTEGER,AgendamentosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorEstimado),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
Agendamentos,ValorReal,REAL,INTEGER,AgendamentosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorReal),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
Agendamentos,ValorPago,REAL,INTEGER,AgendamentosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorPago),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
Agendamentos,ValorProdutos,REAL,INTEGER,AgendamentosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorProdutos),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
Agendamentos,ValorServicos,REAL,INTEGER,AgendamentosRepository,AgendamentoDatabaseService,MoneyIO.GravarMoedaNullable,MoneyIO.LerMoedaNullable,SUM(ValorServicos),AgendamentosWindow.xaml,AgendamentoTests,MAPPED_READY_FOR_CENTSV1
CaixaSessoes,ValorAbertura,REAL,INTEGER,CaixaSessoesRepository,CaixaService,MoneyIO.GravarMoeda,MoneyIO.LerMoeda,SUM(ValorAbertura),CaixaWindow.xaml,CaixaTests,MAPPED_READY_FOR_CENTSV1
