InputDecimal,ConvertedCents,DatabaseCents,OutputDecimal,RoundingMethod,Status
0.00,0,0,0.00,AwayFromZero (ROUND_HALF_UP),PASS
0.01,1,1,0.01,AwayFromZero (ROUND_HALF_UP),PASS
0.02,2,2,0.02,AwayFromZero (ROUND_HALF_UP),PASS
0.05,5,5,0.05,AwayFromZero (ROUND_HALF_UP),PASS
0.10,10,10,0.10,AwayFromZero (ROUND_HALF_UP),PASS
0.99,99,99,0.99,AwayFromZero (ROUND_HALF_UP),PASS
1.00,100,100,1.00,AwayFromZero (ROUND_HALF_UP),PASS
1.01,101,101,1.01,AwayFromZero (ROUND_HALF_UP),PASS
10.01,1001,1001,10.01,AwayFromZero (ROUND_HALF_UP),PASS
100.01,10001,10001,100.01,AwayFromZero (ROUND_HALF_UP),PASS
999.99,99999,99999,999.99,AwayFromZero (ROUND_HALF_UP),PASS
1000.01,100001,100001,1000.01,AwayFromZero (ROUND_HALF_UP),PASS
10000.99,1000099,1000099,10000.99,AwayFromZero (ROUND_HALF_UP),PASS
-0.01,-1,-1,-0.01,AwayFromZero (ROUND_HALF_UP),PASS
-10.01,-1001,-1001,-10.01,AwayFromZero (ROUND_HALF_UP),PASS
NULL,NULL,NULL,NULL,AwayFromZero (ROUND_HALF_UP),PASS
