Table,Column,RowIndex,LegacyReal,ExpectedCents,ShadowCents,RoundtripDecimal,Difference,Status
Funcionarios,Salario,0,5000.0,500000,500000,5000,0.00,PASS
ContasPagar,Valor,0,5412.75,541275,541275,5412.75,0.00,PASS
ContasPagar,Valor,1,5412.75,541275,541275,5412.75,0.00,PASS
ContasPagar,Valor,2,0.01,1,1,0.01,0.00,PASS
ContasPagar,Valor,3,0.05,5,5,0.05,0.00,PASS
ContasPagar,Valor,4,0.1,10,10,0.1,0.00,PASS
ContasPagar,Valor,5,1.23,123,123,1.23,0.00,PASS
ContasPagar,Valor,6,9.99,999,999,9.99,0.00,PASS
ContasPagar,Valor,7,10.01,1001,1001,10.01,0.00,PASS
ContasPagar,Valor,8,99.99,9999,9999,99.99,0.00,PASS
ContasPagar,Valor,9,100.01,10001,10001,100.01,0.00,PASS
ContasPagar,Valor,10,1005.67,100567,100567,1005.67,0.00,PASS
ContasPagar,Valor,11,10000.99,1000099,1000099,10000.99,0.00,PASS
ContasReceber,Valor,0,380.2,38020,38020,380.2,0.00,PASS
ContasReceber,Valor,1,150,15000,15000,150,0.00,PASS
ContasReceber,Valor,2,100,10000,10000,100,0.00,PASS
ContasReceber,Valor,3,150,15000,15000,150,0.00,PASS
ContasReceber,Valor,4,80,8000,8000,80,0.00,PASS
ContasReceber,Valor,5,120,12000,12000,120,0.00,PASS
ContasReceber,Valor,6,0.01,1,1,0.01,0.00,PASS
ContasReceber,Valor,7,0.05,5,5,0.05,0.00,PASS
ContasReceber,Valor,8,0.1,10,10,0.1,0.00,PASS
ContasReceber,Valor,9,1.23,123,123,1.23,0.00,PASS
ContasReceber,Valor,10,9.99,999,999,9.99,0.00,PASS
ContasReceber,Valor,11,10.01,1001,1001,10.01,0.00,PASS
ContasReceber,Valor,12,99.99,9999,9999,99.99,0.00,PASS
ContasReceber,Valor,13,100.01,10001,10001,100.01,0.00,PASS
ContasReceber,Valor,14,1005.67,100567,100567,1005.67,0.00,PASS
ContasReceber,Valor,15,10000.99,1000099,1000099,10000.99,0.00,PASS
MovimentacoesFinanceiras,Valor,0,5412.75,541275,541275,5412.75,0.00,PASS
MovimentacoesFinanceiras,Valor,1,5412.75,541275,541275,5412.75,0.00,PASS
MovimentacoesFinanceiras,Valor,2,380.2,38020,38020,380.2,0.00,PASS
MovimentacoesFinanceiras,Valor,3,380.2,38020,38020,380.2,0.00,PASS
MovimentacoesFinanceiras,Valor,4,150,15000,15000,150,0.00,PASS
MovimentacoesFinanceiras,Valor,5,100,10000,10000,100,0.00,PASS
MovimentacoesFinanceiras,Valor,6,150,15000,15000,150,0.00,PASS
MovimentacoesFinanceiras,Valor,7,80,8000,8000,80,0.00,PASS
MovimentacoesFinanceiras,Valor,8,120,12000,12000,120,0.00,PASS
MovimentacoesFinanceiras,Valor,9,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,10,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,11,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,12,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,13,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,14,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,15,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,16,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,17,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,18,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,19,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,20,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,21,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,22,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,23,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,24,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,25,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,26,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,27,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,28,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,29,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,30,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,31,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,32,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,33,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,34,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,35,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,36,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,37,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,38,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,39,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,40,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,41,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,42,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,43,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,44,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,45,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,46,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,47,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,48,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,49,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,50,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,51,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,52,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,53,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,54,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,55,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,56,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,57,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,58,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,59,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,60,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,61,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,62,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,63,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,64,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,65,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,66,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,67,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,68,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,69,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,70,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,71,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,72,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,73,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,74,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,75,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,76,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,77,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,78,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,79,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,80,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,81,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,82,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,83,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,84,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,85,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,86,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,87,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,88,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,89,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,90,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,91,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,92,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,93,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,94,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,95,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,96,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,97,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,98,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,99,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,100,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,101,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,102,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,103,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,104,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,105,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,106,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,107,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,108,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,109,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,110,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,111,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,112,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,113,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,114,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,115,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,116,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,117,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,118,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,119,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,120,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,121,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,122,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,123,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,124,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,125,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,126,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,127,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,128,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,129,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,130,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,131,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,132,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,133,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,134,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,135,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,136,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,137,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,138,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,139,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,140,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,141,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,142,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,143,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,144,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,145,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,146,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,147,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,148,50,5000,5000,50,0.00,PASS
MovimentacoesFinanceiras,Valor,149,50,5000,5000,50,0.00,PASS
