"Kind","File","Line","Text"
"decimal","PrimoAutoEletrica\Converters\AgendamentoConverters.cs","169","if (value is decimal decimalValue)"
"decimal","PrimoAutoEletrica\Converters\AgendamentoConverters.cs","178","if (decimal.TryParse(value as string, NumberStyles.Currency, CultureInfo.GetCultureInfo(""pt-BR""), out decimal result))"
"double","PrimoAutoEletrica\Converters\AgendamentoConverters.cs","266","if (value is double doubleValue)"
"double","PrimoAutoEletrica\Converters\AgendamentoConverters.cs","275","if (value is double doubleValue)"
"double","PrimoAutoEletrica\Converters\AgendamentoConverters.cs","287","if (value is double doubleValue && parameter is string paramString && double.TryParse(paramString, out double multiplier))"
"double","PrimoAutoEletrica\Converters\AgendamentoConverters.cs","296","if (value is double doubleValue && parameter is string paramString && double.TryParse(paramString, out double multiplier))"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","47","ValorTotal REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","47","ValorTotal REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","48","ValorProdutos REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","48","ValorProdutos REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","70","Quantidade REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","71","ValorUnitario REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","71","ValorUnitario REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","72","ValorTotal REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","72","ValorTotal REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","80","MargemAplicada REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","80","MargemAplicada REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","81","PrecoVendaSugerido REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","81","PrecoVendaSugerido REAL NOT NULL DEFAULT 0,"
"REAL_sql","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","104","ValorTotal REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","104","ValorTotal REAL NOT NULL DEFAULT 0,"
"Preco|Valor|Total|Custo|Desconto|Comissao|Saldo|Receber|Pagar","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","132","TotalItens INTEGER NOT NULL DEFAULT 0,"
