Tabela,Coluna,TipoSQLiteAtual,TipoCSharp,CategoriaSemantica,EMonetario,EDerivado,FonteDeVerdade,Unidade,Nullable,PersistenciaAtual,PersistenciaFuturaRecomendada,Justificativa
AgendamentoProdutos,PrecoUnitario,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
AgendamentoProdutos,PrecoTotal,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
AgendamentoServicos,Valor,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Agendamentos,ClienteTotalGasto,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Agendamentos,ValorEstimado,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Agendamentos,ValorReal,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Agendamentos,ValorPago,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Agendamentos,ValorProdutos,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Agendamentos,ValorServicos,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
CaixaSessoes,ValorAbertura,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
CaixaSessoes,ValorEsperado,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
CaixaSessoes,ValorInformadoFechamento,REAL,decimal?,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),SIM,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
CaixaSessoes,TotalVendas,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
CaixaSessoes,TotalSangrias,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
CaixaSessoes,TotalSuprimentos,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Clientes,TotalGasto,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
ContasPagar,Valor,DECIMAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,DECIMAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
ContasReceber,Valor,DECIMAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,DECIMAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Filiais,Latitude,REAL,double?,COORDINATE,NAO,NAO,Cadastro filial / GPS,Graus decimais,SIM,REAL,REAL,Coordenada geográfica GPS. Não representa dinheiro.
Filiais,Longitude,REAL,double?,COORDINATE,NAO,NAO,Cadastro filial / GPS,Graus decimais,SIM,REAL,REAL,Coordenada geográfica GPS. Não representa dinheiro.
Fornecedores,PedidoMinimo,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
Fornecedores,TotalCompras,REAL,decimal,MONEY_DERIVED,SIM,SIM,Fórmula aritmética / Agregação de itens,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário derivado de cálculos aritméticos ou agregações de itens. Deve ser armazenado em centavos para evitar divergência de arredondamento.
Funcionarios,Salario,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
ImportacoesItens,Quantidade,REAL,decimal,QUANTITY,NAO,NAO,Input do operador / XML da NF-e,Unidades / Horas,NAO,REAL,REAL,Quantidade discreta ou fracionada de peças/horas. Não é dinheiro.
ImportacoesItens,ValorUnitario,REAL,decimal,MONEY,SIM,NAO,Entrada do operador / Contrato / Catálogo,R$ (reais),NAO,REAL,INTEGER cents,Valor monetário em moeda corrente (BRL). Deve ser migrado para INTEGER cents para eliminar resíduos de ponto flutuante IEEE 754.
