STAGE,TABLE,MONEY_COLUMNS,ROWS,BEFORE_SUM,AFTER_SUM,DIVERGENCES,FK_ERRORS,INDEX_ERRORS,READ_TEST,WRITE_TEST,ROLLBACK_TEST,STATUS
STAGE 1 - Funcionarios,Funcionarios,Salario,1,Salario: R$ 500000.00,Salario: R$ 500000.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 2 - Contas Pagar/Receber,ContasPagar,Valor,2,Valor: R$ 1082550.00,Valor: R$ 1082550.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 2 - Contas Pagar/Receber,ContasReceber,Valor,6,Valor: R$ 98020.00,Valor: R$ 98020.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 3 - Fin / Clientes,MovimentacoesFinanceiras,Valor,9,Valor: R$ 1218590.00,Valor: R$ 1218590.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 3 - Fin / Clientes,Clientes,TotalGasto,1,TotalGasto: R$ 98020.00,TotalGasto: R$ 98020.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 4 - Produtos,Produtos,"PrecoCompra, PrecoVenda, ValorTotalEstoque, TotalFaturado",56,PrecoCompra: R$ 109298.00; PrecoVenda: R$ 232965.00; ValorTotalEstoque: R$ 341248.00; TotalFaturado: R$ 0.00,PrecoCompra: R$ 109298.00; PrecoVenda: R$ 232965.00; ValorTotalEstoque: R$ 341248.00; TotalFaturado: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 5 - Ordens de Servico,OrdemServicoItens,"ValorUnitario, CustoUnitario",16,ValorUnitario: R$ 120260.00; CustoUnitario: R$ 3298.00,ValorUnitario: R$ 120260.00; CustoUnitario: R$ 3298.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 5 - Ordens de Servico,OrdensServico,"ValorMaoObra, Desconto",9,ValorMaoObra: R$ 106000.00; Desconto: R$ 0.00,ValorMaoObra: R$ 106000.00; Desconto: R$ 0.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 6 - Orcamentos,OrcamentoItens,"PrecoUnitario, PrecoCusto, Desconto, Subtotal, LucroEstimado",43,PrecoUnitario: R$ 1694000.00; PrecoCusto: R$ 0.00; Desconto: R$ 0.00; Subtotal: R$ 2510000.00; LucroEstimado: R$ 2510000.00,PrecoUnitario: R$ 1694000.00; PrecoCusto: R$ 0.00; Desconto: R$ 0.00; Subtotal: R$ 2510000.00; LucroEstimado: R$ 2510000.00,0,0,0,PASS,PASS,PASS,PASS
STAGE 6 - Orcamentos,Orcamentos,"Subtotal, Desconto, Acrescimo, Total, LucroEstimado, ComissaoVendedor, ImpostosEstimados",23,Subtotal: R$ 1001456.00; Desconto: R$ 0.00; Acrescimo: R$ 0.00; Total: R$ 1001456.00; LucroEstimado: R$ 878000.00; ComissaoVendedor: R$ 2200.00; ImpostosEstimados: R$ 7920.00,Subtotal: R$ 1001456.00; Desconto: R$ 0.00; Acrescimo: R$ 0.00; Total: R$ 1001456.00; LucroEstimado: R$ 878000.00; ComissaoVendedor: R$ 2200.00; ImpostosEstimados: R$ 7920.00,0,0,0,PASS,PASS,PASS,PASS
