ID,SQL_ATUAL,CAMPO,TABELA,UNIDADE_ARMAZENADA,UNIDADE_RETORNADA,CONSUMIDOR,CONVERSAO_NECESSARIA,ARQUIVO,LINHA
1,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data BETWEEN @dataInicio AND @dataFim AND Tipo = 'Receita'",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterResumoFinanceiroAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1112
2,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data BETWEEN @dataInicio AND @dataFim AND Tipo = 'Despesa'",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterResumoFinanceiroAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1126
3,"SELECT COALESCE(SUM(Valor), 0) FROM ContasReceber WHERE Status = 'Pendente'",Valor,ContasReceber,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterResumoFinanceiroAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1149
4,"SELECT COALESCE(SUM(Valor), 0) FROM ContasPagar WHERE Status = 'Pendente'",Valor,ContasPagar,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterResumoFinanceiroAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1159
5,"SELECT COALESCE(SUM(Valor), 0) FROM ContasReceber WHERE DataVencimento < @hoje AND Status = 'Pendente'",Valor,ContasReceber,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterResumoFinanceiroAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1169
6,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data BETWEEN @dataInicio AND @dataFim",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterMovimentacoesPorPeriodoAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1354
7,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Tipo = 'Entrada' AND Data = @hoje",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterFluxoCaixaDiarioAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1635
8,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Tipo = 'Saida' AND Data = @hoje",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),FinanceiroDatabaseService.ObterFluxoCaixaDiarioAsync(),Convert.ToInt64(scalar) / 100m,FinanceiroDatabaseService.cs,1653
9,"SELECT COALESCE(SUM(Total), 0) FROM Vendas WHERE Usuario = @usuario AND Status = 'Concluida'",Total,Vendas,INTEGER cents,long (cents),FuncionarioOperationalService.CalcularComissoesAsync(),Convert.ToInt64(scalar) / 100m,FuncionarioOperationalService.cs,475
10,"SELECT COALESCE(SUM(TotalVendas), 0) FROM CaixaSessoes WHERE OperadorId = @operadorId",TotalVendas,CaixaSessoes,INTEGER cents,long (cents),FuncionarioOperationalService.ObterDesempenhoOperadorAsync(),Convert.ToInt64(scalar) / 100m,FuncionarioOperationalService.cs,507
11,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data BETWEEN @dataInicio AND @dataFim AND Tipo IN ('Entrada', 'Receita')",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),RelatorioDatabaseService.ObterReceitaTotal(),Convert.ToInt64(scalar) / 100m,RelatorioDatabaseService.cs,294
12,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data BETWEEN @dataInicio AND @dataFim AND Tipo IN ('Saida', 'Despesa')",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),RelatorioDatabaseService.ObterDespesaTotal(),Convert.ToInt64(scalar) / 100m,RelatorioDatabaseService.cs,409
13,"SELECT COALESCE(SUM(Valor), 0) FROM ContasReceber WHERE DataVencimento = @hoje AND Status = 'Pendente'",Valor,ContasReceber,INTEGER cents,long (cents),DashboardViewModel.CarregarCardsFinanceirosAsync(),Convert.ToInt64(scalar) / 100m,DashboardViewModel.cs,345
14,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data >= @inicioMes AND Tipo = 'Receita'",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),DashboardViewModel.CarregarFaturamentoMensalAsync(),Convert.ToInt64(scalar) / 100m,DashboardViewModel.cs,447
15,"SELECT COALESCE(SUM(Valor), 0) FROM MovimentacoesFinanceiras WHERE Data >= @inicioMes AND Tipo = 'Despesa'",Valor,MovimentacoesFinanceiras,INTEGER cents,long (cents),DashboardViewModel.CarregarDespesasMensaisAsync(),Convert.ToInt64(scalar) / 100m,DashboardViewModel.cs,456
