Tabela,Campo,Categoria,Tipo Legacy,Tipo CentsV1,Nullable,Leitura,Escrita,SUM,MIN,MAX,AVG,WHERE,ORDER BY,API,Relatorio,Teste,Status
AgendamentoProdutos,PrecoUnitario,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
AgendamentoProdutos,PrecoTotal,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
AgendamentoServicos,Valor,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Agendamentos,ClienteTotalGasto,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Agendamentos,ValorEstimado,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Agendamentos,ValorReal,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Agendamentos,ValorPago,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Agendamentos,ValorProdutos,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Agendamentos,ValorServicos,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
CaixaSessoes,ValorAbertura,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
CaixaSessoes,ValorEsperado,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
CaixaSessoes,ValorInformadoFechamento,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
CaixaSessoes,TotalVendas,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
CaixaSessoes,TotalSangrias,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
CaixaSessoes,TotalSuprimentos,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Clientes,TotalGasto,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ContasPagar,Valor,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ContasReceber,Valor,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Fornecedores,PedidoMinimo,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Fornecedores,TotalCompras,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Funcionarios,Salario,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ImportacoesItens,ValorUnitario,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ImportacoesItens,ValorTotal,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ImportacoesItens,PrecoVendaSugerido,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ImportacoesNFe,ValorTotal,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ImportacoesNFe,ValorProdutos,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ImportacoesNFeExclusoes,ValorTotal,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Metas,MetaValor,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Metas,ValorAtual,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MetasFinanceiras,ValorMeta,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MetasFinanceiras,ValorAtual,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesCaixa,ValorMovimento,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesCaixa,ValorInicial,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesCaixa,ValorFinal,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesCaixa,Sangrias,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesCaixa,Suprimentos,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesCaixa,Diferenca,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
MovimentacoesFinanceiras,Valor,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrcamentoItens,PrecoUnitario,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrcamentoItens,PrecoCusto,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrcamentoItens,Desconto,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrcamentoItens,Subtotal,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrcamentoItens,LucroEstimado,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,Subtotal,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,Desconto,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,Acrescimo,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,Total,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,LucroEstimado,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,ComissaoVendedor,MONEY,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Orcamentos,ImpostosEstimados,MONEY_DERIVED,REAL,INTEGER,SIM,MoneyIO.LerMoedaNullable,MoneyIO.GravarMoedaNullable,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrdemServicoItens,ValorUnitario,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrdemServicoItens,CustoUnitario,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrdensServico,ValorMaoObra,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
OrdensServico,Desconto,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,NAO,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,SIM,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ProdutoFornecedores,PrecoUltimaCompra,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ProdutoFornecedores,ValorCompras,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Produtos,PrecoCompra,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Produtos,PrecoVenda,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Produtos,ValorTotalEstoque,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
Produtos,TotalFaturado,MONEY_DERIVED,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,SIM,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
ServicosPadrao,ValorSugerido,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
VendaItens,PrecoUnitario,MONEY,REAL,INTEGER,NAO,MoneyIO.LerMoeda,MoneyIO.GravarMoeda,SIM,SIM,SIM,SIM,MoneyIO.PrepararFiltro,INTEGER cents direto,NAO,NAO,MoneyPreProductionGateTests,VALIDADO_CENTS_V1
