Tabela,Coluna,TipoAntes,TipoDepois,Transformacao,PermiteNull,PermiteNegativo,Arredondamento,ValoresExistentes,Validacao,EstrategiaRollback
Vendas,Total,REAL,INTEGER,"CAST(ROUND(Total * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Total)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
Vendas,Desconto,REAL,INTEGER,"CAST(ROUND(Desconto * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Desconto)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
VendaItens,PrecoUnitario,REAL,INTEGER,"CAST(ROUND(PrecoUnitario * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(PrecoUnitario)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
VendaItens,CustoUnitario,REAL,INTEGER,"CAST(ROUND(CustoUnitario * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(CustoUnitario)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
VendaItens,Desconto,REAL,INTEGER,"CAST(ROUND(Desconto * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Desconto)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
VendaItens,Subtotal,REAL,INTEGER,"CAST(ROUND(Subtotal * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(Subtotal)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
CaixaSessoes,ValorAbertura,REAL,INTEGER,"CAST(ROUND(ValorAbertura * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(ValorAbertura)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
CaixaSessoes,ValorEsperado,REAL,INTEGER,"CAST(ROUND(ValorEsperado * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(ValorEsperado)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
CaixaSessoes,ValorInformadoFechamento,REAL,INTEGER,"CASE WHEN ValorInformadoFechamento IS NULL THEN NULL ELSE CAST(ROUND(ValorInformadoFechamento * 100) AS INTEGER) END",SIM,NAO,AwayFromZero,0 registros,"COUNT(ValorInformadoFechamento) = COUNT_OLD",Restaurar de backup pre-migration ou snapshot tabela
CaixaSessoes,TotalVendas,REAL,INTEGER,"CAST(ROUND(TotalVendas * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(TotalVendas)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
CaixaSessoes,TotalSangrias,REAL,INTEGER,"CAST(ROUND(TotalSangrias * 100) AS INTEGER)",NAO,NAO,AwayFromZero,0 registros,"COUNT = COUNT_OLD AND SUM(TotalSangrias)/100 = SUM_OLD",Restaurar de backup pre-migration ou snapshot tabela
