"TestId","Theme","Resolution","Page","Window","Control","Content","AutomationName","Detail"
"EX-000002","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-000050","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-000056","","","Clientes","Clientes/EditarClienteWindow","(sem Name)","Cancelar","","BTN-000069 Host disposed mid-queue"
"EX-000062","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000085 Host disposed mid-queue"
"EX-000070","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000094 Host disposed mid-queue"
"EX-000110","","","Fornecedores","Fornecedores/NovoFornecedorWindow","ToggleButton","ToggleButton","","BTN-000145 Host disposed mid-queue"
"EX-000148","","","Funcionarios","Funcionarios/NovoPerfilWindow","ToggleButton","ToggleButton","","BTN-000206 Host disposed mid-queue"
"EX-000154","","","Funcionarios","Funcionarios/NovoFuncionarioWindow","ToggleButton","ToggleButton","","BTN-000209 Host disposed mid-queue"
"EX-000213","","","Orcamentos","Orcamentos/NovoOrcamentoWindow","ToggleButton","ToggleButton","","BTN-000271 Host disposed mid-queue"
"EX-000232","","","OrdensServico","OrdensServico/OrdemServicoWindow","RemoverAssinaturaOsButton","Remover","","BTN-000298 Host disposed mid-queue"
"EX-000288","","","Veiculos","Veiculos/NovoVeiculoWindow","RemoverDocumentoVeiculoButton","Remover","","BTN-000377 Host disposed mid-queue"
"EX-000291","","","Login","LoginWindow","EsqueciSenhaButton","Esqueci a senha","","BTN-000002 Host disposed mid-queue"
"EX-000339","","","CatalogoPecas","CatalogoPecas/ImportarCatalogoPecasWindow","SelecionarArquivoButton","Selecionar arquivo","","BTN-000053 Host disposed mid-queue"
"EX-000345","","","Clientes","Clientes/EditarClienteWindow","(sem Name)","Cancelar","","BTN-000069 Host disposed mid-queue"
"EX-000351","","","Clientes","Clientes/NovoClienteWindow","AssinaturaClienteButton","Assinatura digital","","BTN-000085 Host disposed mid-queue"
"EX-000359","","","Dashboard","Dashboard","AtalhoFinanceiroDashboardButton","Financeiro","","BTN-000094 Host disposed mid-queue"
"EX-000385","","","Fornecedores","Fornecedores/EditarFornecedorWindow","(sem Name)","Cancelar","","BTN-000138 Host disposed mid-queue"
