DataHora=2026-09-26T14:05:34.5341682-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Inicializando estrutura do banco SQLite em 'C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\primoauto_operacional.db'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:34.6613019-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Estrutura do banco SQLite validada em 'C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\primoauto_operacional.db'. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:34.6709863-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Inicializacao do ERP iniciada. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:34.8483983-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Saude do banco validada. Migrations aplicadas: 37. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:34.8876454-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Backup automático diário iniciado com intervalo de 24 horas. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:34.9970008-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Backup do banco criado em 'C:\Users\campo\AppData\Local\Temp\primox-c113-smoke-20260926_140533\Backups\PrimoAutoEletrica_Backup_2026-09-26_14-05-34.db' em 106ms. Hash: C888F5FCF5B7551E1286A94D8C8A9D1F412FE6BF90C6A472A000C612E6412A53 | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:35.2232082-03:00 | Nivel=INFO | Usuario=Nao autenticado | Perfil=Sem perfil | Tela=Geral | Acao=Iniciando smoke test de UI. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:35.2254430-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Smoke test iniciando: MainWindow. | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:35.5808958-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Adicionado ao cache: Dashboard | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:35.5818288-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Navegacao registrada: Dashboard | ErroTecnico= | StackTrace=
DataHora=2026-09-26T14:05:35.5834924-03:00 | Nivel=INFO | Usuario=Smoke Test | Perfil=Administrador | Tela=Geral | Acao=Navegacao concluida para o modulo 'Dashboard'. | ErroTecnico= | StackTrace=
