"Class","File","Line","Text"
"RISK","PrimoAutoEletrica\Data\Repositories\ImportacaoRepository.cs","1486","if (string.Equals(reader.GetString(1), columnName, StringComparison.OrdinalIgnoreCase))"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","322","Data = DateTime.Parse(reader.GetString(1)),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","328","Nome = reader.GetString(3)"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","332","FormaPagamento = reader.GetString(5),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","334","Usuario = reader.GetString(7),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","381","Data = DateTime.Parse(reader.GetString(1)),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","387","Nome = reader.GetString(3)"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","391","FormaPagamento = reader.GetString(5),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","393","Usuario = reader.GetString(7),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","475","Data = DateTime.Parse(reader.GetString(1)),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","481","Nome = reader.GetString(3)"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","485","FormaPagamento = reader.GetString(5),"
"RISK","PrimoAutoEletrica\Repositories\VendaRepository.cs","487","Usuario = reader.GetString(7),"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","78","list.Add(reader.GetString(0));"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","112","list.Add(reader.GetString(0));"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","181","if (Guid.TryParse(reader.GetString(0), out var pecaId))"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","224","existentes.Add(reader.GetString(0));"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","336","Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","497","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","498","Marca = reader.GetString(1),"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","499","Modelo = reader.GetString(2),"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","500","AnoInicial = reader.GetInt32(3),"
"RISK","PrimoAutoEletrica\Services\Catalogo\CatalogoVeiculoService.cs","501","AnoFinal = reader.GetInt32(4),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalEmpresaStore.cs","151","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalEmpresaStore.cs","152","CodigoInterno = reader.GetString(1),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalEmpresaStore.cs","153","NomeExibicao = reader.GetString(2),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalEmpresaStore.cs","154","Ativa = reader.GetInt32(3) == 1,"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalEmpresaStore.cs","156","ProviderPreferido = (FiscalProviderKind)reader.GetInt32(5),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalEmpresaStore.cs","157","AmbientePadrao = (FiscalEnvironment)reader.GetInt32(6),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","244","reader.GetString(0),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","276","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","277","OperationId = Guid.Parse(reader.GetString(1)),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","278","DocumentType = (FiscalDocumentType)reader.GetInt32(2),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","284","Provider = (FiscalProviderKind)reader.GetInt32(8),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","322","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","323","IdempotencyKey = reader.GetString(1),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","324","DocumentType = (FiscalDocumentType)reader.GetInt32(2),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","325","Status = (FiscalDocumentStatus)reader.GetInt32(3),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","326","Environment = (FiscalEnvironment)reader.GetInt32(4),"
"RISK","PrimoAutoEletrica\Services\Fiscal\FiscalOperationStore.cs","327","Provider = (FiscalProviderKind)reader.GetInt32(5),"
"RISK","PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs","642","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs","643","ProdutoId = Guid.Parse(reader.GetString(1)),"
"RISK","PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs","649","Reservado = reader.GetInt32(7) == 1,"
"RISK","PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs","685","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs","1015","Id = Guid.Parse(reader.GetString(0)),"
"RISK","PrimoAutoEletrica\Services\AgendamentoDatabaseService.cs","1016","DataHora = DateTime.Parse(reader.GetString(1)),"
"RISK","PrimoAutoEletrica\Services\ContabilExportService.cs","164","Data = reader.GetDateTime(1),"
"RISK","PrimoAutoEletrica\Services\ContabilExportService.cs","166","ClienteNome = reader.GetString(3),"
"RISK","PrimoAutoEletrica\Services\ContabilExportService.cs","170","Status = reader.GetString(7)"
"RISK","PrimoAutoEletrica\Services\ContabilExportService.cs","203","Descricao = reader.GetString(1),"
"RISK","PrimoAutoEletrica\Services\ContabilExportService.cs","242","Descricao = reader.GetString(1),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","138","Id = reader.GetInt32(0),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","175","Id = reader.GetInt32(0),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","209","permissoes.Add(reader.GetInt32(0));"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","249","modulos.Add(reader.GetString(0));"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","672","Id = reader.GetInt32(0),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","673","Nome = reader.GetString(1),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","674","Descricao = reader.GetString(2),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","675","Modulo = reader.GetString(3),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","676","Acao = reader.GetString(4),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","677","Codigo = reader.GetString(5),"
"RISK","PrimoAutoEletrica\Services\DatabaseService.AccessControl.cs","680","OrdemExibicao = reader.GetInt32(8)"
