CodigoFabricante;Nome;Descricao;Categoria;Subcategoria;Marca;Voltagem;Amperagem;Aplicacao;ImagemLocal
PX-ALT-12-90;Alternador 12V 90A;Alternador regenerado linha leve;Alternadores;12V;PRIMOX;12V;90A;HB20 Onix Gol Ka Argo;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ALT-12-90.png
PX-ALT-12-120;Alternador 12V 120A;Alternador regenerado pickup/SUV;Alternadores;12V;PRIMOX;12V;120A;Hilux S10 Ranger Amarok;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ALT-12-120.png
PX-ALT-24-80;Alternador 24V 80A;Alternador linha pesada 24V;Alternadores;24V;PRIMOX;24V;80A;Actros FH Scania R Daily Constellation;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ALT-24-80.png
PX-ALT-24-110;Alternador 24V 110A;Alternador pesado alta carga;Alternadores;24V;PRIMOX;24V;110A;Actros FH Scania P/R Atego;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-ALT-24-110.png
PX-REG-12;Regulador de Voltagem 12V;Regulador eletrico 12V;Reguladores;12V;PRIMOX;12V;;Linha leve geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-REG-12.png
PX-REG-24;Regulador de Voltagem 24V;Regulador eletrico 24V;Reguladores;24V;PRIMOX;24V;;Linha pesada geral;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-REG-24.png
PX-PRT-12-1.4;Motor de Partida 12V 1.4kW;Partida regenerada leve;Partidas;12V;PRIMOX;12V;;Gol Onix HB20 Fiesta;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-PRT-12-1_4.png
PX-PRT-12-2.0;Motor de Partida 12V 2.0kW;Partida pickup;Partidas;12V;PRIMOX;12V;;Hilux S10 Ranger;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-PRT-12-2_0.png
PX-PRT-24-4.5;Motor de Partida 24V 4.5kW;Partida pesada;Partidas;24V;PRIMOX;24V;;Actros FH Scania Daily;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-PRT-24-4_5.png
PX-PRT-24-6.0;Motor de Partida 24V 6.0kW;Partida pesada alta potencia;Partidas;24V;PRIMOX;24V;;Actros Axor FH FM;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxAE\PRIMOX_PX-PRT-24-6_0.png
