CodigoFabricante;Nome;Descricao;Categoria;Subcategoria;Marca;Voltagem;Amperagem;Aplicacao;ImagemLocal;Segmento
FAR-HEL-H4-LD-0001;Farol H4 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H4-LD-0001.png;Leve
FAR-HEL-H4-LE-0002;Farol H4 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H4-LE-0002.png;Leve
FAR-HEL-H4-PAR-0003;Farol H4 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos H4 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H4-PAR-0003.png;Leve
FAR-HEL-H7-LD-0004;Farol H7 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H7-LD-0004.png;Leve
FAR-HEL-H7-LE-0005;Farol H7 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H7-LE-0005.png;Leve
FAR-HEL-H7-PAR-0006;Farol H7 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos H7 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H7-PAR-0006.png;Leve
FAR-HEL-H1-LD-0007;Farol H1 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos H1 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H1-LD-0007.png;Leve
FAR-HEL-H1-LE-0008;Farol H1 esquerdo;Conjunto farol halogena 12V lado esquerdo;Farois;halogena;HELLA;12V;;Repos H1 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H1-LE-0008.png;Leve
FAR-HEL-H1-PAR-0009;Farol H1 par;Conjunto farol halogena 12V lado par;Farois;halogena;HELLA;12V;;Repos H1 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H1-PAR-0009.png;Leve
FAR-HEL-H3-LD-0010;Farol H3 direito;Conjunto farol halogena 12V lado direito;Farois;halogena;HELLA;12V;;Repos H3 12V;C:\Users\campo\AppData\Local\PrimoAutoEletrica\Catalogo\Imagens\PrimoxLote2\HELLA_FAR-HEL-H3-LD-0010.png;Leve
